category,configuration,metric,statistic,value,unit,scope,source
evidence_or_state,P5 one buyer + one seller + one matched pair,regional membership proof JSON (buyer),observed,983,bytes,"compact application JSON/DER/digest only; CouchDB, protobuf, block, index and HTTP overhead excluded",p5_real_e2e.json
evidence_or_state,P5 one buyer + one seller + one matched pair,regional membership proof JSON (seller),observed,983,bytes,"compact application JSON/DER/digest only; CouchDB, protobuf, block, index and HTTP overhead excluded",p5_real_e2e.json
evidence_or_state,P5 one buyer + one seller + one matched pair,canonical preprocessing evidence JSON,observed,1208,bytes,"compact application JSON/DER/digest only; CouchDB, protobuf, block, index and HTTP overhead excluded",p5_real_e2e.json
evidence_or_state,P5 one buyer + one seller + one matched pair,preprocessing ECDSA signature DER,observed,70,bytes,"compact application JSON/DER/digest only; CouchDB, protobuf, block, index and HTTP overhead excluded",p5_real_e2e.json
evidence_or_state,P5 one buyer + one seller + one matched pair,preprocessing SHA-256 digest raw,observed,32,bytes,"compact application JSON/DER/digest only; CouchDB, protobuf, block, index and HTTP overhead excluded",p5_real_e2e.json
evidence_or_state,P5 one buyer + one seller + one matched pair,committee finalization submission JSON,observed,2298,bytes,"compact application JSON/DER/digest only; CouchDB, protobuf, block, index and HTTP overhead excluded",p5_real_e2e.json
evidence_or_state,P5 one buyer + one seller + one matched pair,three committee ECDSA signatures DER total,observed,212,bytes,"compact application JSON/DER/digest only; CouchDB, protobuf, block, index and HTTP overhead excluded",p5_real_e2e.json
evidence_or_state,P5 one buyer + one seller + one matched pair,committee result SHA-256 digest raw,observed,32,bytes,"compact application JSON/DER/digest only; CouchDB, protobuf, block, index and HTTP overhead excluded",p5_real_e2e.json
evidence_or_state,P5 one buyer + one seller + one matched pair,MatchingResult compact JSON state value,observed,2362,bytes,"compact application JSON/DER/digest only; CouchDB, protobuf, block, index and HTTP overhead excluded",p5_real_e2e.json
evidence_or_state,P5 one buyer + one seller + one matched pair,final buy-order compact JSON state value,observed,1535,bytes,"compact application JSON/DER/digest only; CouchDB, protobuf, block, index and HTTP overhead excluded",p5_real_e2e.json
evidence_or_state,P5 one buyer + one seller + one matched pair,final sell-order compact JSON state value,observed,1567,bytes,"compact application JSON/DER/digest only; CouchDB, protobuf, block, index and HTTP overhead excluded",p5_real_e2e.json
evidence_or_state,P5 one buyer + one seller + one matched pair,trade compact JSON state value,observed,574,bytes,"compact application JSON/DER/digest only; CouchDB, protobuf, block, index and HTTP overhead excluded",p5_real_e2e.json
evidence_or_state,P5 one buyer + one seller + one matched pair,observed final entity JSON total,observed,6639,bytes,"compact application JSON/DER/digest only; CouchDB, protobuf, block, index and HTTP overhead excluded",p5_real_e2e.json
public_ledger_state,"P5 production workflow, two orders",new final order application value per order,mean of buyer/seller order values,1551.000,bytes/order,"compact JSON state values; CouchDB metadata, indexes, block/protobuf envelopes excluded",p5_real_e2e.json
public_ledger_state,"P5 production workflow, two orders and one matched pair",observed final public application state values,sum,6639,bytes/workflow,"two users, two orders, one trade and one matching result; value sizes, not physical database-file delta",p5_real_e2e.json
private_data_state,current prototype,Fabric private-data collection growth,observed,0,bytes/workflow,zero because the current prototype defines and writes no Fabric private-data collection,p5_real_e2e.json
public_ledger_state,"E6 PP-RETF receipt, concurrency=1, orders=10, N=40",logical public state bytes,mean,549.550,bytes/workflow,persisted NSW CouchDB receipt; logical key/value or compact document JSON as named; physical DB files and blocks excluded,storage_couchdb_receipts_raw.csv
public_ledger_state,"E6 PP-RETF receipt, concurrency=1, orders=10, N=40",logical public state bytes,p95_nearest_rank,550.000,bytes/workflow,persisted NSW CouchDB receipt; logical key/value or compact document JSON as named; physical DB files and blocks excluded,storage_couchdb_receipts_raw.csv
public_ledger_state,"E6 PP-RETF receipt, concurrency=1, orders=10, N=40",logical public state bytes per order,mean,54.955,bytes/order,persisted NSW CouchDB receipt; logical key/value or compact document JSON as named; physical DB files and blocks excluded,storage_couchdb_receipts_raw.csv
public_ledger_state,"E6 PP-RETF receipt, concurrency=1, orders=10, N=40",logical public state bytes per order,p95_nearest_rank,55.000,bytes/order,persisted NSW CouchDB receipt; logical key/value or compact document JSON as named; physical DB files and blocks excluded,storage_couchdb_receipts_raw.csv
public_ledger_state,"E6 PP-RETF receipt, concurrency=1, orders=10, N=40",compact couchdb document json bytes,mean,624.550,bytes/document,persisted NSW CouchDB receipt; logical key/value or compact document JSON as named; physical DB files and blocks excluded,storage_couchdb_receipts_raw.csv
public_ledger_state,"E6 PP-RETF receipt, concurrency=1, orders=10, N=40",compact couchdb document json bytes,p95_nearest_rank,625.000,bytes/document,persisted NSW CouchDB receipt; logical key/value or compact document JSON as named; physical DB files and blocks excluded,storage_couchdb_receipts_raw.csv
public_ledger_state,"E6 PP-RETF receipt, concurrency=5, orders=10, N=40",logical public state bytes,mean,549.550,bytes/workflow,persisted NSW CouchDB receipt; logical key/value or compact document JSON as named; physical DB files and blocks excluded,storage_couchdb_receipts_raw.csv
public_ledger_state,"E6 PP-RETF receipt, concurrency=5, orders=10, N=40",logical public state bytes,p95_nearest_rank,550.000,bytes/workflow,persisted NSW CouchDB receipt; logical key/value or compact document JSON as named; physical DB files and blocks excluded,storage_couchdb_receipts_raw.csv
public_ledger_state,"E6 PP-RETF receipt, concurrency=5, orders=10, N=40",logical public state bytes per order,mean,54.955,bytes/order,persisted NSW CouchDB receipt; logical key/value or compact document JSON as named; physical DB files and blocks excluded,storage_couchdb_receipts_raw.csv
public_ledger_state,"E6 PP-RETF receipt, concurrency=5, orders=10, N=40",logical public state bytes per order,p95_nearest_rank,55.000,bytes/order,persisted NSW CouchDB receipt; logical key/value or compact document JSON as named; physical DB files and blocks excluded,storage_couchdb_receipts_raw.csv
public_ledger_state,"E6 PP-RETF receipt, concurrency=5, orders=10, N=40",compact couchdb document json bytes,mean,627.750,bytes/document,persisted NSW CouchDB receipt; logical key/value or compact document JSON as named; physical DB files and blocks excluded,storage_couchdb_receipts_raw.csv
public_ledger_state,"E6 PP-RETF receipt, concurrency=5, orders=10, N=40",compact couchdb document json bytes,p95_nearest_rank,629.000,bytes/document,persisted NSW CouchDB receipt; logical key/value or compact document JSON as named; physical DB files and blocks excluded,storage_couchdb_receipts_raw.csv
public_ledger_state,"E6 PP-RETF receipt, concurrency=10, orders=10, N=40",logical public state bytes,mean,551.550,bytes/workflow,persisted NSW CouchDB receipt; logical key/value or compact document JSON as named; physical DB files and blocks excluded,storage_couchdb_receipts_raw.csv
public_ledger_state,"E6 PP-RETF receipt, concurrency=10, orders=10, N=40",logical public state bytes,p95_nearest_rank,552.000,bytes/workflow,persisted NSW CouchDB receipt; logical key/value or compact document JSON as named; physical DB files and blocks excluded,storage_couchdb_receipts_raw.csv
public_ledger_state,"E6 PP-RETF receipt, concurrency=10, orders=10, N=40",logical public state bytes per order,mean,55.155,bytes/order,persisted NSW CouchDB receipt; logical key/value or compact document JSON as named; physical DB files and blocks excluded,storage_couchdb_receipts_raw.csv
public_ledger_state,"E6 PP-RETF receipt, concurrency=10, orders=10, N=40",logical public state bytes per order,p95_nearest_rank,55.200,bytes/order,persisted NSW CouchDB receipt; logical key/value or compact document JSON as named; physical DB files and blocks excluded,storage_couchdb_receipts_raw.csv
public_ledger_state,"E6 PP-RETF receipt, concurrency=10, orders=10, N=40",compact couchdb document json bytes,mean,630.150,bytes/document,persisted NSW CouchDB receipt; logical key/value or compact document JSON as named; physical DB files and blocks excluded,storage_couchdb_receipts_raw.csv
public_ledger_state,"E6 PP-RETF receipt, concurrency=10, orders=10, N=40",compact couchdb document json bytes,p95_nearest_rank,631.000,bytes/document,persisted NSW CouchDB receipt; logical key/value or compact document JSON as named; physical DB files and blocks excluded,storage_couchdb_receipts_raw.csv
